ne year,month,month_year,country,region,is_aggregate,visitors
2023,Mar,Mar-2023,Colombia,America,False,750
2023,Mar,Mar-2023,Croatia,Europe,False,555
2023,Mar,Mar-2023,Cyprus,Europe,False,204
2023,Mar,Mar-2023,Czech Republic,Europe,False,6180
2023,Mar,Mar-2023,Denmark,Europe,False,13522
2023,Mar,Mar-2023,Egypt,Middle East,False,829
2023,Mar,Mar-2023,Estonia,Europe,False,1644
2023,Mar,Mar-2023,Ethiopia,Africa,False,827
2023,Mar,Mar-2023,Europe,Europe,True,614862
2023,Mar,Mar-2023,Finland,Europe,False,8968
2023,Mar,Mar-2023,France,Europe,False,50019
2023,Mar,Mar-2023,Germany,Europe,False,81511
2023,Mar,Mar-2023,Grand Total,Africa,True,2269733
2023,Mar,Mar-2023,Greece,Europe,False,1324
2023,Mar,Mar-2023,Hong Kong (China),Asia and the Pacific,False,55432
2023,Mar,Mar-2023,Hungary,Europe,False,3129
2023,Mar,Mar-2023,Iceland,Europe,False,361
2023,Mar,Mar-2023,India,Asia and the Pacific,False,119474
2023,Mar,Mar-2023,Indonesia,Asia and the Pacific,False,53067
2023,Mar,Mar-2023,Iran,Asia and the Pacific,False,7698
2023,Mar,Mar-2023,Iraq,Middle East,False,287
2023,Mar,Mar-2023,Ireland,Europe,False,5474
2023,Mar,Mar-2023,Israel,Europe,False,22697
2023,Mar,Mar-2023,Italy,Europe,False,13422
2023,Mar,Mar-2023,Japan,Asia and the Pacific,False,60489
2023,Mar,Mar-2023,Jordan,Middle East,False,586
2023,Mar,Mar-2023,Kazakhstan,Europe,False,21328
2023,Mar,Mar-2023,Kenya,Africa,False,256
2023,Mar,Mar-2023,Korea (Republic of),Asia and the Pacific,False,115038
2023,Mar,Mar-2023,Kuwait,Middle East,False,2371
2023,Mar,Mar-2023,Kyrgyzstan,Europe,False,460
2023,Mar,Mar-2023,Laos,Asia and the Pacific,False,58222
2023,Mar,Mar-2023,Latvia,Europe,False,1048
2023,Mar,Mar-2023,Lebanon,Middle East,False,256
2023,Mar,Mar-2023,Lithuania,Europe,False,2109
2023,Mar,Mar-2023,Luxembourg,Europe,False,414
2023,Mar,Mar-2023,Macao (China),Asia and the Pacific,False,2194
2023,Mar,Mar-2023,Malaysia,Asia and the Pacific,False,362070
2023,Mar,Mar-2023,Maldives,Asia and the Pacific,False,1665
2023,Mar,Mar-2023,Mauritius,Africa,False,903
2023,Mar,Mar-2023,Mexico,America,False,2671
2023,Mar,Mar-2023,Middle East,Middle East,True,19574
2023,Mar,Mar-2023,Mongolia,Asia and the Pacific,False,1640
2023,Mar,Mar-2023,Morocco,Africa,False,360
2023,Mar,Mar-2023,Myanmar,Asia and the Pacific,False,27478
2023,Mar,Mar-2023,Nepal,Asia and the Pacific,False,2241
2023,Mar,Mar-2023,Netherlands,Europe,False,15776
2023,Mar,Mar-2023,New Zealand,Oceania,False,5584
2023,Mar,Mar-2023,North Korea,Asia and the Pacific,False,1
2023,Mar,Mar-2023,North-East Asia,Asia and the Pacific,True,551202
2023,Mar,Mar-2023,Northern Europe,Europe,True,137951
2023,Mar,Mar-2023,Norway,Europe,False,8006
2023,Mar,Mar-2023,Oceania,Oceania,True,57642
2023,Mar,Mar-2023,Oman,Middle East,False,2155
2023,Mar,Mar-2023,Other in Africa,Africa,False,1440
2023,Mar,Mar-2023,Other in America,America,False,865
2023,Mar,Mar-2023,Other in Asia,Asia and the Pacific,False,58
2023,Mar,Mar-2023,Other in Europe,Europe,False,1495
2023,Mar,Mar-2023,Other in Middle East,Middle East,False,276
2023,Mar,Mar-2023,Other in Oceania,Oceania,False,312
2023,Mar,Mar-2023,Pakistan,Asia and the Pacific,False,5104
2023,Mar,Mar-2023,Peru,America,False,509
2023,Mar,Mar-2023,Philippines,Asia and the Pacific,False,33678
2023,Mar,Mar-2023,Poland,Europe,False,12648
2023,Mar,Mar-2023,Portugal,Europe,False,3370
2023,Mar,Mar-2023,Qatar,Middle East,False,2135
2023,Mar,Mar-2023,Romania,Europe,False,3505
2023,Mar,Mar-2023,Russian Federation,Europe,False,177805
2023,Mar,Mar-2023,Saudi Arabia,Middle East,False,6555
2023,Mar,Mar-2023,Serbia,Europe,False,761
2023,Mar,Mar-2023,Singapore,Asia and the Pacific,False,83250
2023,Mar,Mar-2023,Slovakia,Europe,False,2626
2023,Mar,Mar-2023,Slovenia,Europe,False,792
2023,Mar,Mar-2023,South  Africa,Africa,False,4861
2023,Mar,Mar-2023,South Asia,Asia and the Pacific,True,150855
2023,Mar,Mar-2023,South-East Asia,Asia and the Pacific,True,746297
2023,Mar,Mar-2023,Southern/Medit. Europe,Europe,True,56959
2023,Mar,Mar-2023,Spain,Europe,False,8525
2023,Mar,Mar-2023,Sri Lanka,Asia and the Pacific,False,2356
2023,Mar,Mar-2023,Sweden,Europe,False,19869
2023,Mar,Mar-2023,Switzerland,Europe,False,13660
2023,Mar,Mar-2023,Taiwan,Asia and the Pacific,False,46635
2023,Mar,Mar-2023,The United States of America,America,False,84101
2023,Mar,Mar-2023,Turkey,Europe,False,5309
2023,Mar,Mar-2023,U.A.E.,Middle East,False,3195
2023,Mar,Mar-2023,Ukraine,Europe,False,3505
2023,Mar,Mar-2023,United Kingdom,Europe,False,81751
2023,Mar,Mar-2023,Uruguay,America,False,593
2023,Mar,Mar-2023,Uzbekistan,Europe,False,3315
2023,Mar,Mar-2023,Vietnam,Asia and the Pacific,False,82576
2023,Mar,Mar-2023,Western Europe,Europe,True,176790
2023,Mar,Mar-2023,Yemen,Middle East,False,291
2023,Apr,Apr-2023,Africa,Africa,True,9441
2023,Apr,Apr-2023,America,America,True,100424
2023,Apr,Apr-2023,Argentina,America,False,1513
2023,Apr,Apr-2023,Asia and the Pacific,Asia and the Pacific,True,1615515
2023,Apr,Apr-2023,Australia,Oceania,False,59122
2023,Apr,Apr-2023,Austria,Europe,False,5417
2023,Apr,Apr-2023,Bahrain,Middle East,False,1160
2023,Apr,Apr-2023,Bangladesh,Asia and the Pacific,False,10212
2023,Apr,Apr-2023,Belarus,Europe,False,608
2023,Apr,Apr-2023,Belgium,Europe,False,5614
2023,Apr,Apr-2023,Bhutan,Asia and the Pacific,False,1222
2023,Apr,Apr-2023,Brazil,America,False,3644
2023,Apr,Apr-2023,Brunei,Asia and the Pacific,False,935
2023,Apr,Apr-2023,Bulgaria,Europe,False,988
2023,Apr,Apr-2023,Cambodia,Asia and the Pacific,False,45687
2023,Apr,Apr-2023,Canada,America,False,16579
2023,Apr,Apr-2023,Central/Eastern Europe,Europe,True,146807
2023,Apr,Apr-2023,Chile,America,False,984
2023,Apr,Apr-2023,China,Asia and the Pacific,False,328414
2023,Apr,Apr-2023,Colombia,America,False,689
2023,Apr,Apr-2023,Croatia,Europe,False,336
2023,Apr,Apr-2023,Cyprus,Europe,False,189
2023,Apr,Apr-2023,Czech Republic,Europe,False,2710
2023,Apr,Apr-2023,Denmark,Europe,False,5902
2023,Apr,Apr-2023,Egypt,Middle East,False,826
2023,Apr,Apr-2023,Estonia,Europe,False,499
2023,Apr,Apr-2023,Ethiopia,Africa,False,887
2023,Apr,Apr-2023,Europe,Europe,True,430530
2023,Apr,Apr-2023,Finland,Europe,False,2694
2023,Apr,Apr-2023,France,Europe,False,40724
2023,Apr,Apr-2023,Germany,Europe,False,55029
2023,Apr,Apr-2023,Grand Total,Africa,True,2182100
2023,Apr,Apr-2023,Greece,Europe,False,1177
2023,Apr,Apr-2023,Hong Kong (China),Asia and the Pacific,False,67897
